"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"PG 36:1_56","86496.482421875",NA,"103342.7861328125",NA,NA,"218999.83984375",NA,"186886.2099609375",NA,"129745.453125","152507.67578125","187133.509765625",NA,"131527.251953125","120792.6298828125"
"PG 36:2_57",NA,NA,NA,"71700.578125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 18:1/18:1_58","97871.62109375","54702.713553658294",NA,NA,NA,"531432.203125","473603.8515625","293058.125","312518.8203125","233662.07421875","887426.34375","810432.4375","733888.375","686818.953125","638793.59375"
"PG 18:0_18:2_59",NA,"14812.19660259171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 18:0/18:2_60","875308.879672547","815497.5529215964","707462.07806357","715236.5797267449","664204.9840494735","1133275.3480352918","1014218.8106035237","1106873.65625","950958.1823244098","906163.359375","754678.9124489198","704255.8194398851","628522.3061181107","553930.5789417378","534604.521069628"
"PG 16:0_20:2_61","107987.97495868082","109648.97832840361","105580.95499904855","79598.71714825497","73664.23389670049","114287.87071470828","190855.69829316935",NA,NA,NA,"151041.2632847577","103108.0435178167","113527.42310996658","174680.9193057921","141414.74379193204"
"PG 18:1/18:1_62","128584.86411877222",NA,"82173.70131238148",NA,"67735.20392882604",NA,"107513.67860330685",NA,"127037.63017559021",NA,"113336.1992663224","106075.71516729821","88101.53639692275","86837.31425247008","82060.59451344004"
"PG 18:1_18:2_63","193641.4609375","188784.79296875","146035.98828125","146512.703125","165511.984375","841715.578125","755510.125","568736.921875","611887.28125","525526.0","849214.328125","698615.21875","742002.875","585265.40625","545682.53125"
"PG 36:3_64","94596.8916015625","85186.4111328125","74027.18359375","61004.162109375","49302.58203125",NA,NA,NA,"215575.9375","216515.53515625",NA,NA,NA,NA,NA
"PG 18:1_18:2_65",NA,NA,NA,NA,NA,"338466.5546875","185364.71600585585","210776.46131144147",NA,NA,"295454.7115494209","285030.5948568766","307040.5439087205","278034.54012641456","216808.67921686714"
"PG 16:0/20:3_66",NA,NA,NA,NA,NA,NA,"80240.36211914416","68328.94493855855",NA,NA,"76768.24157557913","42897.46764312342","45941.79202877953","43894.57706108542","57574.62547063286"
"PG 36:4_67","117438.9921875","34211.447265625","76517.1328125","72973.37890625","46494.516357421875",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53280.27734375"
"PG 18:2/18:2_68",NA,NA,NA,NA,NA,"251743.11328125","288160.5390625","193282.26848959748","222616.0078125","150889.54421637897","88028.6181640625","95108.42059373915","84100.48828125","129107.89110650678",NA
"PG 18:1_18:3_69",NA,NA,NA,NA,NA,NA,NA,"21896.506901027522",NA,"16943.57492424603",NA,"25238.425109385847",NA,"17208.25049505571",NA
"PG 18:2/18:2_70",NA,NA,NA,NA,NA,"162149.80078125","165369.05078125","125546.923828125","104915.53125","89783.92578125","134236.05078125","140544.765625","114107.04296875","103312.70703125","91408.6396484375"
