name,id
C00111,127129
C00669,126847
C07100,126578
C14772,125992
C11348,126580
C04549,126896
C01060,127051
C00691,126287
C01227,126522
C15883,126093
C00179,126907
G13049,127190
C02059,126425
G02632,127182
C06756,126205
C02670,127696
C01010,126626
C05396,127454
C05290,126840
C01163,126190
G13034,127174
C16264,126247
C04043,126498
C07099,126216
C17621,126955
C00637,126368
C15805,127335
C14812,125990
C07093,126213
C05903,127352
C01218,126831
G00042,125892
C00437,127747
C01041,127443
C16262,126245
C06125,125985
C00760,127375
C06564,126784
C00101,126852
C05100,126724
C00617,126728
C15977,127545
C20948,127718
C11508,126144
C00515,126315
C00044,127363
G00872,127487
C04874,126453
C00519,126352
G00147,125884
C00223,127299
C04919,126677
C00208,127533
C00106,127410
C05746,126061
C00103,126951
C00243,127197
C05966,126003
C02700,127138
C00008,125822
C05623,127687
C06762,126599
C00011,127541
